chr	start	end	context	WT_1	WT_2	A4_1	A4_2	A17_1	A17_2
SL4.0ch00	0	100000	CG	90.7863451086957	88.693715982187	89.0012874747103	86.4109728219456	83.8096897873824	83.1153027076361
SL4.0ch00	0	100000	CHG	61.9017688785131	58.928808166512	61.8723098995696	54.3057272352699	52.9520125264806	51.8606151860615
SL4.0ch00	0	100000	CHH	9.93121459196578	9.3314960073493	11.1420689655172	9.08060777749163	8.38455012897976	8.26171278931254
SL4.0ch00	100000	200000	CG	89.5455674199156	89.1928251121076	89.3470149253731	86.2842604371458	83.4796034454738	83.2220526516597
SL4.0ch00	100000	200000	CHG	63.0537974683544	60.7619990103909	67.7332822379766	56.1085972850679	53.1110316467012	55.3847709576297
SL4.0ch00	100000	200000	CHH	10.5424910715232	9.2213589022979	12.5130034180413	9.12319269468166	8.44714338827612	8.43275280036827
SL4.0ch00	200000	300000	CG	90.136074286048	90.3721149317004	90.0328492392808	87.706439042494	84.932779877331	83.4879406307978
SL4.0ch00	200000	300000	CHG	67.3089963833635	66.4181272392757	70.1328303073175	64.6965895362884	60.7242339832869	60.5001529519731
SL4.0ch00	200000	300000	CHH	11.702991264449	10.1357923324702	13.616243409424	10.7720570104059	9.62710010029093	9.3740916577851
SL4.0ch00	300000	400000	CG	89.8710471400289	90.2637300311939	90.1111693149409	88.6071122127944	84.9226160758862	85.2598857803802
SL4.0ch00	300000	400000	CHG	67.9682699290542	67.4285714285714	67.8116531165312	65.1915651915652	61.9201583635764	61.2106575257089
SL4.0ch00	300000	400000	CHH	12.464704808735	11.2060576572193	14.081267966747	11.5504413924439	10.2317657945655	10.3597211849639
SL4.0ch00	400000	500000	CG	91.0634338184947	91.6848281642917	91.3225993152357	90.7555979350935	87.5288037041025	87.2548067585939
SL4.0ch00	400000	500000	CHG	59.800806550165	58.2032196641856	59.3895515723672	59.4784092595341	55.3254145013611	55.377287540737
SL4.0ch00	400000	500000	CHH	14.7421676055251	13.8738007005432	16.7547406824412	15.6086849562199	13.589242519929	13.3887831112002
SL4.0ch00	500000	600000	CG	90.7762018138282	91.0969871050541	90.8302904879027	90.3280839895013	86.9946903807942	87.1815220500706
SL4.0ch00	500000	600000	CHG	58.2592710997442	57.8567982518376	57.7114301658972	57.8591958032201	53.988522783415	53.3407378370138
SL4.0ch00	500000	600000	CHH	14.8901700867917	14.0159507131403	16.8116888622326	16.0473699546281	13.6355054609989	13.8872985581001
SL4.0ch00	600000	700000	CG	90.4882713147846	90.7137129109864	90.8616640259218	90.1392056252376	86.9251094372363	87.2441530411441
SL4.0ch00	600000	700000	CHG	57.3735102316168	57.7846508702034	57.3439954642634	57.196492189641	54.4580056052798	54.3967839703654
SL4.0ch00	600000	700000	CHH	14.9718424063357	14.1407715413775	16.975377629288	16.1985885644919	14.0286548516331	14.209958887221
SL4.0ch00	700000	800000	CG	90.2957675351796	91.0092430676992	90.5211577314179	90.3393376782665	86.7495174562324	86.3820191214567
SL4.0ch00	700000	800000	CHG	63.2499928401638	63.1899308779532	61.8617899801326	62.6770077558169	59.129638757834	58.9316750994554
SL4.0ch00	700000	800000	CHH	15.10004724709	14.6046237988364	17.2920854739037	16.5293674780958	14.1876741183665	14.0691456794155
SL4.0ch00	800000	900000	CG	91.8146306818182	92.5252423770533	91.8399876597167	90.1897601145721	86.4647305783977	87.2735167567994
SL4.0ch00	800000	900000	CHG	72.9116626634641	73.1096196868009	73.2849297216792	71.5356820234869	67.5619582468563	69.0831106736043
SL4.0ch00	800000	900000	CHH	15.3332494517741	14.3113342898135	17.1017309637796	15.9179568450567	13.895115246352301	14.4413298797147
SL4.0ch00	900000	1000000	CG	91.3669982147411	91.8528041137715	91.2883796092258	90.5320435308343	86.4007727291021	86.3486389881771
SL4.0ch00	900000	1000000	CHG	72.7801519468186	72.6044952681388	74.0275616803734	71.8213058419244	67.5701483766711	68.280481600814
SL4.0ch00	900000	1000000	CHH	14.8789318850419	14.1976292141992	16.9386420051796	15.9818898058858	13.6702821486069	13.7194514874355
SL4.0ch00	1000000	1100000	CG	90.7464877332774	91.1437920247384	91.2867892180208	90.3992685156964	85.7787131689717	86.0191337432108
SL4.0ch00	1000000	1100000	CHG	71.8755118755119	71.3738920225624	72.6497297694768	72.0200752823087	68.1563429017009	67.8636607622115
SL4.0ch00	1000000	1100000	CHH	15.8251633469165	14.6578550575856	17.7258874934926	16.9337716594754	14.489114139823	14.5535899241828
SL4.0ch00	1100000	1200000	CG	89.7398172525941	89.8946414410332	89.8381788261108	87.0522803114572	83.6072411779428	83.2735171892709
SL4.0ch00	1100000	1200000	CHG	65.4292156546948	64.8330530867163	67.6687208777995	60.3345134904163	56.8425681618294	57.3583774602857
SL4.0ch00	1100000	1200000	CHH	10.8193054079749	9.79228486646884	13.206305688828	10.1547933920132	8.80829015544041	9.08761315613564
SL4.0ch00	1200000	1300000	CG	88.2640369580668	88.0157170923379	89.7107114933542	85.4024556616644	83.2624990340777	82.6127039734489
SL4.0ch00	1200000	1300000	CHG	59.7984322508399	57.6488634778971	61.6871441414444	54.1119360365505	53.1066489865505	55.2805102151119
SL4.0ch00	1200000	1300000	CHH	9.70189912826899	8.36637198650545	11.0748711377734	9.04717020947343	8.30229366790825	8.59549302390128
SL4.0ch00	1300000	1400000	CG	69.0537303216975	72.561872909699	87.5353535353535	62.2157655381506	56.4054009550469	56.3794068270845
SL4.0ch00	1300000	1400000	CHG	51.6843024949034	51.2664021971315	64.1839255177655	45.7646718704828	42.7740536277603	42.5539160045403
SL4.0ch00	1300000	1400000	CHH	8.5477817577232	8.12521382141635	11.1560880829016	7.61392584206057	6.87684501360451	7.02017981041728
SL4.0ch00	1400000	1500000	CG	0	0	0	2.41545893719807	0	0
SL4.0ch00	1400000	1500000	CHG	0	1.36986301369863	0	1.46341463414634	0	0
SL4.0ch00	1400000	1500000	CHH	0.127551020408163	0	0	0.546991546494281	0.0680272108843537	0.183262064752596
SL4.0ch00	1500000	1600000	CG	55.7124615037933	66.1668070766639	70.1413427561837	53.4611723106215	46.6177791080515	49.7258979206049
SL4.0ch00	1500000	1600000	CHG	30.0595238095238	35.6060606060606	39.7818599311137	30.7186472522311	23.9336809733922	25.790096332601
SL4.0ch00	1500000	1600000	CHH	6.75089626460044	7.29792463134899	11.1931119311193	7.09032525378082	5.01123965129667	5.67024310742904
SL4.0ch00	1600000	1700000	CG	91.8584525747579	91.8879056047198	92.885412995744	92.295008244641	87.6407410364929	88.2134828856805
SL4.0ch00	1600000	1700000	CHG	64.9630743088687	65.5658086449733	65.1884824036723	66.1119259844296	60.3222756283981	61.4368471868691
SL4.0ch00	1600000	1700000	CHH	14.5261753504138	13.9824295204458	17.0617009074655	15.4430175268557	13.5505813201235	13.4524781707394
SL4.0ch00	1700000	1800000	CG	92.6997840172786	93.4772258371687	94.0633245382586	93.1486991683833	88.9068690363261	88.1830151415405
SL4.0ch00	1700000	1800000	CHG	73.9186273502517	75.9277833500501	70.833069770384	73.289641943734	70.3250670241287	71.0408432147563
